title,url,company,salary,deadline,location,lien_he
Công ty TNHH Hybest Việt Nam Thông báo Tuyển dụng Nhân viên...,https://phutho.work/cong-ty-tnhh-hybest-viet-nam-thong-bao-tuyen-dung-nhan-vien-hanh-chinh-nhan-su.html,Công ty TNHH Hybest Việt Nam,Thoả thuận,7/31/2025 17:00,Phù Ninh,"Công ty TNHH Hybest Việt Nam Phòng Nhân sự: 0986365884 Địa chỉ: Lô CN04-05 Cụm CN Phú Gia – H. Phù Ninh – T. Phú Thọ
Lưu ý: Đơn vị không thu bất kỳ khoản chi phí nào liên quan đến Tuyển dụng. Nộp hồ sơ cuối tin nút: ” NỘP HỒ SƠ”
Theo dõi các kênh Hệ sinh thái Sàn dưới đây để tìm thêm các công việc mới mỗi ngày."
Công ty TNHH TOYO SOLAR Thông báo Tuyển dụng Kỹ thuật viên...,https://phutho.work/cong-ty-tnhh-toyo-solar-thong-bao-tuyen-dung-ky-thuat-vien-cong-nghe-nhan-vien-kho-lai-xe-nang.html,CÔNG TY TNHH TOYO SOLAR,Thoả thuận,5/31/2025 17:00,KCN Cẩm Khê,
Công ty TNHH Công nghệ COSMOS Thông báo Tuyển dụng Nhân viên...,https://phutho.work/cong-ty-tnhh-cong-nghe-cosmos-thong-bao-tuyen-dung-nhan-vien-ky-thuat-san-xuat.html,Công Ty TNHH Công Nghệ COSMOS,Thoả thuận,7/31/2025 17:00,KCN Thụy Vân,"Công ty TNHH Công nghệ COSMOS Địa chỉ: Lô 9 – KCN Thụy Vân – Việt Trì – Phú Thọ Phòng Nhân sự: 02103 994 768 Ext: 702 / 0971.170.855
Lưu ý: Đơn vị không thu bất kỳ khoản chi phí nào liên quan đến Tuyển dụng. Nộp hồ sơ cuối tin nút: ” NỘP HỒ SƠ” Theo dõi các kênh Hệ sinh thái Sàn dưới đây để tìm thêm các công việc mới mỗi ngày. ……………………………..***…………………………….. HỆ SINH THÁI SÀN THÔNG TIN VIỆC LÀM PHUTHO.WOR Website chính : https://phutho.work Fanpage: https://www.facebook.com/phutho.work Group: https://www.facebook.com/groups/phuthowork Kênh thông báo: https://www.messenger.com/channel/phutho.work Tiktok : https://www.tiktok.com/@phuthowork ZALO: (Tổng hợp và thông báo nhanh các job theo khu vực địa lý và nhóm job theo ngành nghề) Group Zalo chung của tỉnh: Việc làm Phú Thọ (Sắp Full): https://zalo.me/g/ikdtrv252 Việt Trì: https://zalo.me/g/nzjktl402 Việt Trì 2 (còn Slot) : https://zalo.me/g/hbftpq494 Group Zalo các KCN: KCN Thụy Vân (Sắp Full): https://zalo.me/g/afaqmp373 KCN Phú Hà (Sắp Full): https://zalo.me/g/ixrvri499 KCN Lâm Thao: https://zalo.me/g/equpzz777 KCN Thanh Ba: https://zalo.me/g/qmhaxr093 KCN Đồng Lạng: https://zalo.me/g/hrifsn137 KCN Cẩm Khê: https://zalo.me/g/ybqtod749 KCN Tử Đà: https://zalo.me/g/jfertk905 KCN Đại An: https://zalo.me/g/caezan325 KCN Hạ Hòa: https://zalo.me/g/yugjfi001 KCN Trung Hà: https://zalo.me/g/wcyoys749 Group Zalo Chuyên môn: Kế toán – Nhân sự – Hành chính Nhân sự: https://zalo.me/g/spjvdb096 Kế toán – Nhân sự – Hành chính Nhân sự – Nhóm 2 (News): https://zalo.me/g/spjvdb096 Job Chất lượng cao: https://zalo.me/g/mgfiir349 Điện tử – Kỹ thuật – Cơ khí (Mới tạo): https://zalo.me/g/loqzle907 Digital Marketing – AI (Mới tạo – xu hướng mới): https://zalo.me/g/iqlplw695 Sale – Kinh doanh (Mới tạo): https://zalo.me/g/eefuzg059"
Công ty TNHH TM Tuấn Hồng Phú Thọ Tuyển dụng Các Vị...,https://phutho.work/nha-may-san-xuat-do-go-thu-cong-my-nghe-home-carpenter-cong-ty-tuan-hong-phu-tho-tuyen-dung-cac-vi-tri-thang-7-2025.html,Công ty TNHH TM Tuấn Hồng Phú Thọ,Thoả thuận,8/20/2025 17:00,Việt Trì,"CÔNG TY TNHH TM TUẤN HỒNG PHÚ THỌ
* Địa điểm Công ty: Tổ 11B-  Phố Anh Dũng, Phường Thanh Miếu, Tỉnh Phú Thọ
* Địa điểm Nhà máy: Nhà máy sản xuất đồ gỗ thủ công mỹ nghệ  – Cụm công nghiệp Hợp Hải – Kinh Kệ, Xã Phùng Nguyên, Tỉnh Phú Thọ.
* Phòng Nhân sự: 0984 001 555
Lưu ý: Đơn vị không thu bất kỳ khoản chi phí nào liên quan đến Tuyển dụng. Nộp hồ sơ cuối tin nút: ” NỘP HỒ SƠ” Theo dõi các kênh Hệ sinh thái Sàn dưới đây để tìm thêm các công việc mới mỗi ngày. ……………………………..***…………………………….. HỆ SINH THÁI SÀN THÔNG TIN VIỆC LÀM PHUTHO.WOR Website chính : https://phutho.work Fanpage: https://www.facebook.com/phutho.work Group: https://www.facebook.com/groups/phuthowork Kênh thông báo: https://www.messenger.com/channel/phutho.work Tiktok : https://www.tiktok.com/@phuthowork ZALO: (Tổng hợp và thông báo nhanh các job theo khu vực địa lý và nhóm job theo ngành nghề) Group Zalo chung của tỉnh: Việc làm Phú Thọ (2): https://zalo.me/g/fciarp598 Việt Trì 2 : https://zalo.me/g/hbftpq494 Group Zalo các KCN: KCN Thụy Vân (2): https://zalo.me/g/mggujz986 KCN Phú Hà (2): https://zalo.me/g/zmvfdf470 KCN Lâm Thao: https://zalo.me/g/equpzz777 KCN Thanh Ba: https://zalo.me/g/qmhaxr093 KCN Đồng Lạng: https://zalo.me/g/hrifsn137 KCN Cẩm Khê: https://zalo.me/g/ybqtod749 KCN Tử Đà: https://zalo.me/g/jfertk905 KCN Đại An: https://zalo.me/g/caezan325 KCN Hạ Hòa: https://zalo.me/g/yugjfi001 KCN Trung Hà: https://zalo.me/g/wcyoys749 Group Zalo Chuyên môn: Kế toán – Nhân sự – Hành chính Nhân sự: https://zalo.me/g/idaohc964 Job Chất lượng cao: https://zalo.me/g/mgfiir349 Điện tử – Kỹ thuật – Cơ khí (Mới tạo): https://zalo.me/g/loqzle907 Digital Marketing – AI (Mới tạo – xu hướng mới): https://zalo.me/g/iqlplw695 Sale – Kinh doanh (Mới tạo): https://zalo.me/g/eefuzg059"
"Nhân viên Kế toán, Nhân viên Kỹ thuật, Nhân viên Kinh doanh,...",https://phutho.work/nhan-vien-ke-toan-nhan-vien-ky-thuat-nhan-vien-kinh-doanh-nv-quan-ly-chat-luong-cong-ty-co-phan-dai-phan-tuyen-dung.html,Công ty cổ phần Đại Phan,Thoả thuận,8/10/2025 17:00,Phù Ninh,"Công ty Cổ phần Đại Phan
Địa chỉ: Tổ 2 – Khu Đá thờ – Thị trấn Phong Châu – Huyện Phù Ninh – Tỉnh Phú Thọ
Phòng nhân sự: Ms.Lien – 039 546 1125
Lưu ý: Đơn vị không thu bất kỳ khoản chi phí nào liên quan đến Tuyển dụng. Nộp hồ sơ cuối tin nút: ” NỘP HỒ SƠ”
Theo dõi các kênh Hệ sinh thái Sàn dưới đây để tìm thêm các công việc mới mỗi ngày."
Công ty Bao bì AVESTAR Tuyển dụng Nhân viên Kiểm soát Nhân...,https://phutho.work/cong-ty-bao-bi-avestar-tuyen-dung-nhan-vien-kiem-soat-nhan-su.html,Công ty CP Tập đoàn Bao bì AVESTAR,Thoả thuận,7/20/2025 17:00,KCN Lâm Thao,"Công ty Cổ phần Tập đoàn bao bì Avestar
Địa chỉ: Lô A2- A3, CCN Hợp Hải, Phùng Nguyên, Lâm Thao, Phú Thọ
Phòng Nhân sự: 0210 3686 369 – DD: 0382.415.897
Lưu ý: Công ty không thu bất kỳ khoản chi phí nào liên quan đến Tuyển dụng. Nộp hồ sơ tại nút: ” NỘP HỒ SƠ”"
Công Ty TNHH Sản Phẩm Thể Thao Bai Sheng Tuyển dụng Nhân...,https://phutho.work/cong-ty-tnhh-san-pham-the-thao-bai-sheng-tuyen-dung-nhan-vien-van-phong.html,Công Ty TNHH Sản Phẩm Thể Thao Bai Sheng,Thoả thuận,7/15/2025 17:00,Thanh Thủy,"Công Ty TNHH Sản Phẩm Thể Thao Bai Sheng Địa chỉ: Khu 1- Đồng Trung- Thanh Thuỷ- Phú Thọ Phòng Nhân sự: 0379.330.904 / 0356.973.767
Lưu ý: Công ty không thu bất kỳ khoản chi phí nào liên quan đến Tuyển dụng. Nộp hồ sơ tại nút: ” NỘP HỒ SƠ” ……………………………..***…………………………….. HỆ SINH THÁI SÀN THÔNG TIN VIỆC LÀM PHUTHO.WOR Website chính : https://phutho.work Fanpage: https://www.facebook.com/phutho.work Group: https://www.facebook.com/groups/phuthowork Kênh thông báo: https://www.messenger.com/channel/phutho.work Tiktok : https://www.tiktok.com/@phuthowork ZALO: (Tổng hợp và thông báo nhanh các job theo khu vực địa lý và nhóm job theo ngành nghề) Group Zalo chung của tỉnh: Việc làm Phú Thọ (Sắp Full): https://zalo.me/g/ikdtrv252 Việt Trì: https://zalo.me/g/nzjktl402 Việt Trì 2 (còn Slot) : https://zalo.me/g/hbftpq494 Group Zalo các KCN: KCN Thụy Vân (Sắp Full): https://zalo.me/g/afaqmp373 KCN Phú Hà (Sắp Full): https://zalo.me/g/ixrvri499 KCN Lâm Thao: https://zalo.me/g/equpzz777 KCN Thanh Ba: https://zalo.me/g/qmhaxr093 KCN Đồng Lạng: https://zalo.me/g/hrifsn137 KCN Cẩm Khê: https://zalo.me/g/ybqtod749 KCN Tử Đà: https://zalo.me/g/jfertk905 KCN Đại An: https://zalo.me/g/caezan325 KCN Hạ Hòa: https://zalo.me/g/yugjfi001 KCN Trung Hà: https://zalo.me/g/wcyoys749 Group Zalo Chuyên môn: Kế toán – Nhân sự – Hành chính Nhân sự: https://zalo.me/g/spjvdb096 Kế toán – Nhân sự – Hành chính Nhân sự – Nhóm 2 (News): https://zalo.me/g/spjvdb096 Job Chất lượng cao: https://zalo.me/g/mgfiir349 Điện tử – Kỹ thuật – Cơ khí (Mới tạo): https://zalo.me/g/loqzle907 Digital Marketing – AI (Mới tạo – xu hướng mới): https://zalo.me/g/iqlplw695"
Kỹ sư tự động hoá – Công ty Cổ phần Đông Á...,https://phutho.work/ky-su-tu-dong-hoa-cong-ty-co-phan-dong-a-tuyen-dung.html,Công ty Cổ phần Đông Á,Thoả thuận,7/31/2025 18:00,Phù Ninh,
Nhân viên Hành chính Nhân sự – Công ty Cổ phần Đông...,https://phutho.work/nhan-vien-hanh-chinh-nhan-su-cong-ty-co-phan-dong-a-tuyen-dung.html,Công ty Cổ phần Đông Á,10-12 triệu,6/30/2025 18:00,Phù Ninh,
Công ty TNHH JH Vina Thông báo Tuyển dụng Nhiều vị trí...,https://phutho.work/cong-ty-tnhh-jh-vina-thong-bao-tuyen-dung-nhieu-vi-tri-cac-bo-phan-thang-7-2025.html,Công ty TNHH JH Vina,Thoả thuận,7/25/2025 17:00,KCN Phú Hà,"Công ty TNHH JH Vina
Địa chỉ: Lô CN-07B, Khu công nghiệp Phú Hà, Xã Hà Lộc, Thị xã Phú Thọ, Tỉnh Phú Thọ
Điện thoại: 0977.504.883
Lưu ý: Nộp hồ sơ ngay dưới đây nút ” NỘP HỒ SƠ”. Công ty không thu bất kỳ khoản phí nào liên quan đến tuyển dụng. ……………………………..***…………………………….. HỆ SINH THÁI SÀN THÔNG TIN VIỆC LÀM PHUTHO.WOR Website chính : https://phutho.work Fanpage: https://www.facebook.com/phutho.work Group: https://www.facebook.com/groups/phuthowork Kênh thông báo: https://www.messenger.com/channel/phutho.work Tiktok : https://www.tiktok.com/@phuthowork ZALO: (Tổng hợp và thông báo nhanh các job theo khu vực địa lý và nhóm job theo ngành nghề) Group Zalo chung của tỉnh: Việc làm Phú Thọ (Sắp Full): https://zalo.me/g/ikdtrv252 Việt Trì: https://zalo.me/g/nzjktl402 Việt Trì 2 (còn Slot) : https://zalo.me/g/hbftpq494 Group Zalo các KCN: KCN Thụy Vân (Sắp Full): https://zalo.me/g/afaqmp373 KCN Phú Hà (Sắp Full): https://zalo.me/g/ixrvri499 KCN Lâm Thao: https://zalo.me/g/equpzz777 KCN Thanh Ba: https://zalo.me/g/qmhaxr093 KCN Đồng Lạng: https://zalo.me/g/hrifsn137 KCN Cẩm Khê: https://zalo.me/g/ybqtod749 KCN Tử Đà: https://zalo.me/g/jfertk905 KCN Đại An: https://zalo.me/g/caezan325 KCN Hạ Hòa: https://zalo.me/g/yugjfi001 KCN Trung Hà: https://zalo.me/g/wcyoys749 Group Zalo Chuyên môn: Kế toán – Nhân sự – Hành chính Nhân sự: https://zalo.me/g/spjvdb096 Kế toán – Nhân sự – Hành chính Nhân sự – Nhóm 2 (News): https://zalo.me/g/spjvdb096 Job Chất lượng cao: https://zalo.me/g/mgfiir349 Điện tử – Kỹ thuật – Cơ khí (Mới tạo): https://zalo.me/g/loqzle907 Digital Marketing – AI (Mới tạo – xu hướng mới): https://zalo.me/g/iqlplw695"
