title,url,company,salary,deadline,location,lien_he
Trường Mầm non Quốc tế Achi Home Montessori Tuyển dụng 02 Giáo...,https://vinhphuc.work/truong-mam-non-quoc-te-achi-home-montessori-tuyen-dung-02-giao-vien-mam-non.html,Trường Quốc Tế Achi Home,5-10 Triệu,Từ 01/06/2022,Phố Lê Đĩnh Chi – KĐT Chùa Hà Tiên – TP Vĩnh Yên –...,
Công ty Cổ phần Toyo Taki Việt Nam Tuyển Nhân viên Kinh...,https://vinhphuc.work/cong-ty-co-phan-toyo-taki-viet-nam-tuyen-nhan-vien-kinh-doanh-qc-khuon-tho-han-nhan-vien-ky-thuat.html,Công ty CP Toyo Taki Việt Nam,Thỏa thuận,Từ ngày 31/05/2022,Khu công nghiệp Khai Quang,
Công ty TNHH Dynamix Material Science Tuyển dụng Nhân viên Kiểm tra...,https://vinhphuc.work/cong-ty-tnhh-dynamix-material-science-tuyen-dung-nhan-vien-kiem-tra-hien-truong.html,CÔNG TY TNHH DYNAMIX MATERIAL SCIENCE,Thương lượng,31/05/2022,"Lô CN05-2, KCN Bình Xuyên II - Bá Hiến - Bình Xuyên - Vĩnh...","Công ty TNHH Dynamix Material Science
Địa chỉ: Lô CN05-2, KCN Bình Xuyên II – Bá Hiến – Bình Xuyên – Vĩnh Phúc
Điện thoại: 0211.3535.568"
Công ty Big Five Việt Nam tuyển Lái xe cho giám đốc,https://vinhphuc.work/cong-ty-big-five-viet-nam-tuyen-lai-xe-cho-giam-doc.html,Công ty Big Five Việt Nam,Thỏa thuận,31/05/2022,Mộ Đạo - Đạo Đức - Bình Xuyên - Vĩnh Phúc,"Công ty Big Five Việt Nam
Địa chỉ: Mộ Đạo – Đạo Đức – Bình Xuyên – Vĩnh Phúc
Điện thoại liên hệ: 0981 009 020"
Công ty TNHH SX TM & XD Bảo Sơn(Sơn JYKA) Tuyển Kế...,https://vinhphuc.work/cong-ty-tnhh-sx-tm-xd-bao-sonson-jyka-tuyen-ke-toan-tong-hop-ke-toan-ban-hang.html,Công ty TNHH SX TM và XD Bảo Sơn (Hãng sơn JYKA),Thỏa Thuận,30/05/2022 - 30/06/2022,Công ty TNHH SX TM & XD Bảo Sơn (Sơn JYKA) – Gần ngã...,"Công ty TNHH SX TM & XD Bảo Sơn (Sơn JYKA) Địa chỉ: KCN Bá Thiện, Bình Xuyên, Vĩnh Phúc. Điện thoai: 0862048444"
Công ty Cổ phần dịch vụ Sen Hồng Tuyển dụng mới nhiều...,https://vinhphuc.work/cong-ty-co-phan-dich-vu-sen-hong-tuyen-dung-moi-nhieu-vi-tri-2.html,Công ty Cổ phần dịch vụ Sen Hồng,Thỏa thuận,Từ 30/05/2022,"TDP Đông Quý, Phường Đồng Tâm, TP. Vĩnh Yên, tỉnh Vĩnh Phúc","Công ty Cổ phần dịch vụ Sen Hồng
Địa chỉ: TDP Đông Quý, Phường Đồng Tâm, TP. Vĩnh Yên, tỉnh Vĩnh Phúc số ĐT/zalo: 094 154 3906 (Ms. Tú Anh) – 0986 777 138"
Công ty TNHH LS Communication Vina Tuyển Nhân viên Kế hoạch sản...,https://vinhphuc.work/cong-ty-tnhh-ls-communication-vina-tuyen-nhan-vien-ke-hoach-san-xuat-phien-dich.html,Công ty TNHH LS Communication Vina,Thỏa thuận,30/05/2021,Khu công nghiệp Bá Thiện – Bình Xuyên – Vĩnh Phúc,
"Nhà máy Sujin Việt Nam Tuyển Công nhân Hàn xì, Công nhân...",https://vinhphuc.work/nha-may-sujin-viet-nam-tuyen-cong-nhan-han-xi-cong-nhan-van-hanh-may-chinh-thuc-lam-hanh-chinh.html,Nhà máy Sujin Việt Nam,THỏa thuận,30/05/2022,"Nhà máy Sujin Việt Nam - Phường Phúc Thắng, Phúc Yên, Vĩnh Phúc","Nhà máy Sujin Việt Nam
Địa chỉ: phường Phúc Thắng, thành phố Phúc Yên, tỉnh Vĩnh Phúc (Gần cổng khu đô thị TMS)
Điện thoại:02113 869 898/ 0211 3721 335"
Công ty Cổ phần Hưng Thịnh Land Tuyển dụng Trưởng phòng Kinh...,https://vinhphuc.work/cong-ty-co-phan-hung-thinh-land-tuyen-dung-truong-phong-kinh-doanh-nhan-vien-kinh-doanh-chuyen-du-an-tap-doan.html,Công ty Cổ phần Hưng Thịnh Land,Thỏa thuận,Từ 30/05/2022,"SN 44S5, KĐT Chùa Hà Tiên, Xã Định Trung, Thành phố Vĩnh Yên, Tỉnh...",
"Công ty TNHH Xây dựng Hưng Đạt tuyển Nhân viên Cắt cỏ,...",https://vinhphuc.work/cong-ty-tnhh-xay-dung-hung-dat-tuyen-nhan-vien-cat-co-ky-thuat-vien-bao-tri-duy-tu-duong-bo.html,Công ty TNHH Xây dựng Hưng Đạt,6-10 triệu,Từ ngày 29/05/2022,"Chọn các khu vực Tam Đảo, Bình Xuyên, Vĩnh Yên",
